t [sec],GPS_lat (deg),GPS_long (deg),GPS_alt (m),Baro1_alt (m),Baro2_alt (m),Baro3_alt (m)
22.0,42.373553546957226,-71.10856781349578,9.46345719601959,0.0006117541342973709,0.0006117541342973709,0.0006117541342973709
22.1,,,,0.0006173048168420792,0.0006173048168420792,0.0006173048168420792
22.200000000000003,,,,0.0006228778511285782,0.0006228778511285782,0.0006228778511285782
22.3,,,,0.0006284750998020172,0.0006284750998020172,0.0006284750998020172
22.4,,,,0.0006340984255075455,0.0006340984255075455,0.0006340984255075455
22.5,,,,0.0006397459656000137,0.0006397459656000137,0.0006397459656000137
22.6,,,,0.0006454205140471458,0.0006454205140471458,0.0006454205140471458
22.700000000000003,,,,0.0006511174142360687,0.0006511174142360687,0.0006511174142360687
22.8,,,,0.0006568413227796555,0.0006568413227796555,0.0006568413227796555
22.9,,,,0.0006625894457101822,0.0006625894457101822,0.0006625894457101822
23.0,42.373641474306794,-71.10859602608556,2.924266029149294,0.0006683627143502235,0.0006683627143502235,0.0006683627143502235
23.1,,,,0.0006741611286997795,0.0006741611286997795,0.0006741611286997795
23.200000000000003,,,,0.0006799846887588501,0.0006799846887588501,0.0006799846887588501
23.3,,,,0.0006858352571725845,0.0006858352571725845,0.0006858352571725845
23.4,,,,0.0006917063146829605,0.0006917063146829605,0.0006917063146829605
23.5,,,,0.0006976062431931496,0.0006976062431931496,0.0006976062431931496
23.6,,,,0.000703529454767704,0.000703529454767704,0.000703529454767704
23.700000000000003,,,,0.0007094787433743477,0.0007094787433743477,0.0007094787433743477
23.8,,,,0.0007154513150453568,0.0007154513150453568,0.0007154513150453568
23.9,,,,0.0007214518263936043,0.0007214518263936043,0.0007214518263936043
24.0,42.37359220107013,-71.10863536955708,-2.006611879914999,0.0007274746894836426,0.0007274746894836426,0.0007274746894836426
24.1,,,,0.0007335245609283447,0.0007335245609283447,0.0007335245609283447
24.200000000000003,,,,0.0007395995780825615,0.0007395995780825615,0.0007395995780825615
24.3,,,,0.0007456960156559944,0.0007456960156559944,0.0007456960156559944
24.4,,,,0.0007518213242292404,0.0007518213242292404,0.0007518213242292404
24.5,,,,0.0007579708471894264,0.0007579708471894264,0.0007579708471894264
24.6,,,,0.0007641436532139778,0.0007641436532139778,0.0007641436532139778
24.700000000000003,,,,0.0007703425362706184,0.0007703425362706184,0.0007703425362706184
24.8,,,,0.0007765665650367737,0.0007765665650367737,0.0007765665650367737
24.9,,,,0.0007828166708350182,0.0007828166708350182,0.0007828166708350182
25.0,42.37362228975762,-71.1085757637731,-0.17760458309203386,0.0007890919223427773,0.0007890919223427773,0.0007890919223427773
25.1,,,,0.000795392319560051,0.000795392319560051,0.000795392319560051
25.200000000000003,,,,0.0008017150685191154,0.0008017150685191154,0.0008017150685191154
25.3,,,,0.0008080648258328438,0.0008080648258328438,0.0008080648258328438
25.4,,,,0.0008144397288560867,0.0008144397288560867,0.0008144397288560867
25.5,,,,0.0008208397775888443,0.0008208397775888443,0.0008208397775888443
25.6,,,,0.0008272649720311165,0.0008272649720311165,0.0008272649720311165
25.700000000000003,,,,0.0008337134495377541,0.0008337134495377541,0.0008337134495377541
25.8,,,,0.0008401889353990555,0.0008401889353990555,0.0008401889353990555
25.9,,,,0.0008466886356472969,0.0008466886356472969,0.0008466886356472969
26.0,42.373655308376044,-71.10848659336371,7.658590441569686,0.000853213481605053,0.000853213481605053,0.000853213481605053
26.1,,,,0.0008597653359174728,0.0008597653359174728,0.0008597653359174728
26.200000000000003,,,,0.0008663386106491089,0.0008663386106491089,0.0008663386106491089
26.3,,,,0.0008729379624128342,0.0008729379624128342,0.0008729379624128342
26.4,,,,0.0008795633912086487,0.0008795633912086487,0.0008795633912086487
26.5,,,,0.0008862130343914032,0.0008862130343914032,0.0008862130343914032
26.6,,,,0.0008928896859288216,0.0008928896859288216,0.0008928896859288216
26.700000000000003,,,,0.0008995877578854561,0.0008995877578854561,0.0008995877578854561
26.8,,,,0.0009063137695193291,0.0009063137695193291,0.0009063137695193291
26.9,,,,0.0009130639955401421,0.0009130639955401421,0.0009130639955401421
27.0,42.37357407419469,-71.10841916261748,-4.7457048846408725,0.0009198402985930443,0.0009198402985930443,0.0009198402985930443
27.1,,,,0.0009266398847103119,0.0009266398847103119,0.0009266398847103119
27.200000000000003,,,,0.0009334655478596687,0.0009334655478596687,0.0009334655478596687
27.3,,,,0.0009403163567185402,0.0009403163567185402,0.0009403163567185402
27.4,,,,0.0009471923112869263,0.0009471923112869263,0.0009471923112869263
27.5,,,,0.000954093411564827,0.000954093411564827,0.000954093411564827
27.6,,,,0.0009610168635845184,0.0009610168635845184,0.0009610168635845184
27.700000000000003,,,,0.0009679701179265976,0.0009679701179265976,0.0009679701179265976
27.8,,,,0.0009749457240104675,0.0009749457240104675,0.0009749457240104675
27.9,,,,0.0009819455444812775,0.0009819455444812775,0.0009819455444812775
28.0,42.37359136356486,-71.10834041029159,2.5261144367977977,0.0009889714419841766,0.0009889714419841766,0.0009889714419841766
28.1,,,,0.0009960215538740158,0.0009960215538740158,0.0009960215538740158
28.200000000000003,,,,0.0010030986741185188,0.0010030986741185188,0.0010030986741185188
28.3,,,,0.0010101990774273872,0.0010101990774273872,0.0010101990774273872
28.4,,,,0.0010173246264457703,0.0010173246264457703,0.0010173246264457703
28.5,,,,0.0010244771838188171,0.0010244771838188171,0.0010244771838188171
28.6,,,,0.0010316520929336548,0.0010316520929336548,0.0010316520929336548
28.700000000000003,,,,0.0010388540104031563,0.0010388540104031563,0.0010388540104031563
28.8,,,,0.0010460792109370232,0.0010460792109370232,0.0010460792109370232
28.9,,,,0.001053331419825554,0.001053331419825554,0.001053331419825554
29.0,42.37370562083177,-71.10825926515838,-3.4637308726087213,0.0010606059804558754,0.0010606059804558754,0.0010606059804558754
29.1,,,,0.0010679084807634354,0.0010679084807634354,0.0010679084807634354
29.200000000000003,,,,0.0010752351954579353,0.0010752351954579353,0.0010752351954579353
29.3,,,,0.00108258705586195,0.00108258705586195,0.00108258705586195
29.4,,,,0.0010899640619754791,0.0010899640619754791,0.0010899640619754791
29.5,,,,0.0010973643511533737,0.0010973643511533737,0.0010973643511533737
29.6,,,,0.0011047916486859322,0.0011047916486859322,0.0011047916486859322
29.700000000000003,,,,0.0011122431606054306,0.0011122431606054306,0.0011122431606054306
29.8,,,,0.0011197198182344437,0.0011197198182344437,0.0011197198182344437
29.9,,,,0.0011272216215729713,0.0011272216215729713,0.0011272216215729713
30.0,42.373527992751505,-71.10824228527053,3.2240739539265633,0.001134747639298439,0.001134747639298439,0.001134747639298439
30.1,,,,0.001142299734055996,0.001142299734055996,0.001142299734055996
30.200000000000003,,,,0.0011498760432004929,0.0011498760432004929,0.0011498760432004929
30.3,,,,0.001157478429377079,0.001157478429377079,0.001157478429377079
30.4,,,,0.0011651059612631798,0.0011651059612631798,0.0011651059612631798
30.5,,,,0.001172756776213646,0.001172756776213646,0.001172756776213646
30.6,,,,0.0011804355308413506,0.0011804355308413506,0.0011804355308413506
30.700000000000003,,,,0.0011881357058882713,0.0011881357058882713,0.0011881357058882713
30.8,,,,0.001195862889289856,0.001195862889289856,0.001195862889289856
30.9,,,,0.0012036161497235298,0.0012036161497235298,0.0012036161497235298
31.0,42.37376317468791,-71.10828687222907,4.862709081731737,0.001211392693221569,0.001211392693221569,0.001211392693221569
31.1,,,,0.001219194382429123,0.001219194382429123,0.001219194382429123
31.200000000000003,,,,0.0012270240113139153,0.0012270240113139153,0.0012270240113139153
31.3,,,,0.0012348750606179237,0.0012348750606179237,0.0012348750606179237
31.4,,,,0.0012427521869540215,0.0012427521869540215,0.0012427521869540215
31.5,,,,0.0012506553903222084,0.0012506553903222084,0.0012506553903222084
31.6,,,,0.00125858373939991,0.00125858373939991,0.00125858373939991
31.700000000000003,,,,0.0012665344402194023,0.0012665344402194023,0.0012665344402194023
31.8,,,,0.0012745121493935585,0.0012745121493935585,0.0012745121493935585
31.9,,,,0.001282515935599804,0.001282515935599804,0.001282515935599804
32.0,42.373641880274114,-71.10817605708687,4.869890993461013,0.0012905439361929893,0.0012905439361929893,0.0012905439361929893
32.1,,,,0.0012985961511731148,0.0012985961511731148,0.0012985961511731148
32.2,,,,0.0013066735118627548,0.0013066735118627548,0.0013066735118627548
32.300000000000004,,,,0.0013147750869393349,0.0013147750869393349,0.0013147750869393349
32.4,,,,0.0013229046016931534,0.0013229046016931534,0.0013229046016931534
32.5,,,,0.0013310573995113373,0.0013310573995113373,0.0013310573995113373
32.6,,,,0.0013392353430390358,0.0013392353430390358,0.0013392353430390358
32.7,,,,0.0013474393635988235,0.0013474393635988235,0.0013474393635988235
32.800000000000004,,,,0.001355665735900402,0.001355665735900402,0.001355665735900402
32.9,,,,0.001363920047879219,0.001363920047879219,0.001363920047879219
33.0,42.3737532309096,-71.10803925334096,-1.468519895337522,0.0013721976429224014,0.0013721976429224014,0.0013721976429224014
33.1,,,,0.0013805022463202477,0.0013805022463202477,0.0013805022463202477
33.2,,,,0.0013888292014598846,0.0013888292014598846,0.0013888292014598846
33.300000000000004,,,,0.0013971831649541855,0.0013971831649541855,0.0013971831649541855
33.4,,,,0.0014055613428354263,0.0014055613428354263,0.0014055613428354263
33.5,,,,0.0014139655977487564,0.0014139655977487564,0.0014139655977487564
